,movie_link,title,description,genres,date_released
5057,m/curse_of_the_demon,Curse of the Demon,"American professor John Holden (Dana Andrews) arrives in London for a conference on parapsychology only to discover that the colleague he was supposed to meet was killed in a freak accident the day before. It turns out that the deceased had been investigating a cult lead by Dr. Julian Karswell (Niall MacGinnis). Though a skeptic, Holden is suspicious of the devil-worshiping Karswell. Following a trail of mysterious manuscripts, Holden enters a world that makes him question his faith in science.","Horror, Mystery & Suspense, Science Fiction & Fantasy",1958-07-01
14022,m/suddenly_last_summer,"Suddenly, Last Summer","In this adaptation of Tennessee Williams' play, young socialite Catherine Holly (Elizabeth Taylor) is traumatized and committed after witnessing her cousin's violent death on a trip to Europe. Her aunt, Violet Venable (Katharine Hepburn), wants to hide the events of her son's death and attempts to bribe young surgeon Dr. John Cukrowicz (Montgomery Clift) to perform a lobotomy on Catherine. But John vows to find out the truth about Catherine's state before taking any action.","Classics, Drama, Horror, Mystery & Suspense",1959-12-22
8096,m/i_hate_valentines_day,I Hate Valentine's Day,"Genevieve (Nia Vardalos), a florist, and Greg (John Corbett), a restaurateur, are relationship-challenged. Genevieve avoids the pain of a broken heart by never going out with a man more than five times, and Greg has a string of disastrous relationships behind him. Though Greg agrees to Genevieve's five-date rule, neither he nor Genevieve can predict the romantic sparks that fly when they get together.","Comedy, Romance",2009-07-03
15238,m/the_interview_2014,The Interview,"Dave Skylark (James Franco) and his producer Aaron Rapoport (Seth Rogen) are the team behind the popular tabloid-TV show ""Skylark Tonight."" After learning that North Korea's Kim Jong Un (Randall Park) is a huge fan of the show, they successfully set up an interview with him, hoping to legitimize themselves as actual journalists. However, as Dave and Aaron prepare for their journey to Pyongyang, the CIA steps in, recruits them, and assigns them an incredible mission: Assassinate the dictator.",Comedy,2014-12-25
9783,m/love_and_other_catastrophes,Love and Other Catastrophes,"Mia (Frances O'Connor), an Australian college student, is suffering through an ugly breakup with her girlfriend (Radha Mitchell) and unsuccessfully trying to switch majors. Her roommate, Alice (Alice Garner), is late on her honors thesis and can't choose between a handsome part-time gigolo (Matthew Dyktynski) and a coy medical student looking to rent a room in their apartment (Matt Day). Together, the two friends attempt to manage their relationships and the frustrations of college life.","Comedy, Drama",1997-03-28
2188,m/a_perfect_man,A Perfect Man,An unfaithful husband (Liev Schreiber) falls back in love with his wife (Jeanne Tripplehorn) over the phone when she pretends to be someone else.,"Comedy, Drama",2013-11-01
125,m/10008785-appaloosa,Appaloosa,"Virgil Cole (Ed Harris) and his longtime friend and partner Everett Hitch (Viggo Mortensen) travel the 1880s Southwest, bringing justice to lawless towns desperate enough to hire them. In the mining town of Appaloosa, malevolent rancher Randall Bragg and his cronies ride roughshod over the frightened citizens. As Cole and Hitch work to end Bragg's reign of terror, an unconventional widow (Renee Zellweger) arrives, complicating the job and threatening their bond.","Action & Adventure, Western",2008-10-03
3084,m/back_to_1942,Back to 1942,"The fortunes of a well-off Chinese landlord (Zhang Guoli) fall to ruin, as a devastating famine holds the country in its grip in 1942.","Action & Adventure, Art House & International, Drama",2012-11-30
6335,m/fat_man_and_little_boy,Fat Man and Little Boy,"Assigned to oversee the development of the atomic bomb, Gen. Leslie Groves (Paul Newman) is a stern military man determined to have the project go according to plan. Groves selects J. Robert Oppenheimer (Dwight Schultz) as the key scientist on the top-secret operation, but the two men clash fiercely on a number of issues. Despite their frequent conflicts, Groves and Oppenheimer ultimately push ahead with two bomb designs -- the bigger ""Fat Man"" and the more streamlined ""Little Boy.""",Drama,1989-10-20
3107,m/bad_day_for_the_cut,Bad Day for the Cut,"A mild-mannered farmer embarks on a bloody quest to avenge his mother's murder. He soon discovers her dark past while wading through the criminal underworld of Belfast, Ireland.","Art House & International, Drama, Mystery & Suspense",2017-10-20
13617,m/sound_of_music,The Sound of Music,"A tuneful, heartwarming story, it is based on the real life story of the Von Trapp Family singers, one of the world's best-known concert groups in the era immediately preceding World War II. Julie Andrews plays the role of Maria, the tomboyish postulant at an Austrian abbey who becomes a governess in the home of a widowed naval captain with seven children, and brings a new love of life and music into the home.","Classics, Drama, Kids & Family, Musical & Performing Arts",1965-03-02
17378,m/wild_target,Wild Target,"Longing to get out of the assassination business, a hit man (Bill Nighy) decides not to follow through with his latest assignment to kill a pretty art thief (Emily Blunt).","Action & Adventure, Comedy, Drama",2010-10-29
17547,m/wrong_cops_2013,Wrong Cops,Several bad cops try to dispose of a body one of them accidentally shot.,"Comedy, Drama",2013-12-20
13199,m/sherlock_gnomes,Sherlock Gnomes,"When Gnomeo and Juliet first arrive in London with their friends and family, their biggest concern is getting a new garden ready for spring. When everyone in the garden suddenly goes missing -- there's only one gnome to call -- Sherlock Gnomes. The famous detective and sworn protector of the city shows up with his sidekick Watson to investigate the case. The mystery soon leads the gnomes on a rollicking adventure as they meet all-new ornaments and explore an undiscovered side of London.","Action & Adventure, Animation, Comedy, Kids & Family",2018-03-23
12534,m/riding-the-bullet,Riding the Bullet,"Ever since his father passed away, art student Alan Parker (Jonathan Jackson) has been hypnotized by thoughts of death. After his girlfriend, Jessica (Erika Christensen), breaks up with him, Alan attempts suicide but is rescued by his friends. The next day, he learns that his mother (Barbara Hershey) has just had a serious stroke, and he sets out to hitchhike to her hospital. Along the way, he meets a series of strange people, including sinister George Staub (David Arquette), who may be Satan.","Horror, Mystery & Suspense",2004-10-15
3397,m/believe_me,Believe Me,A college student (Alex Russell) and his roommates start a fake charity and scam gullible churchgoers into paying their tuition.,Comedy,2014-09-26
3707,m/blast_from_the_past,Blast From the Past,"Adam Webber (Brendan Fraser) has lived his entire life in confinement in a fallout shelter in Pasadena, Calif. When the Webber family's rations of food and supplies grow thin, Adam's eccentric father, Calvin (Christopher Walken), sends him on a dangerous restocking mission. When Adam emerges from the Webber family's subterranean refuge for the first time, he finds that rumors of a nuclear apocalypse were totally false -- and meets gorgeous Eve Rustikov (Alicia Silverstone).","Comedy, Romance",1999-02-12
4702,m/closet,The Closet (Le Placard),"When Francois Pignon (Daniel Auteuil), an accountant for a rubber factory, is about to be fired, he spreads a rumor that he's gay so that the company will be afraid to fire him, lest they come under fire for sexual discrimination. The ruse quickly becomes a challenge, starting when a burly homophobe (Gérard Depardieu) befriends Pignon to also keep his own job for the opposite reason.","Art House & International, Comedy, Drama",2001-05-04
5785,m/drugstore_cowboy,Drugstore Cowboy,"Bob Hughes (Matt Dillon) is the leader of a ""family"" of drug addicts consisting of his wife, Dianne (Kelly Lynch), and another couple who feed their habit by robbing drug stores as they travel across the country. After a tragedy befalls a member of his group, Bob decides he must leave his dysfunctional clan and go straight. Parting ways with his junkie past proves more difficult than expected when Bob is stalked by an old acquaintance looking to score drugs at any price.",Drama,1989-01-01
12068,m/private_benjamin,Private Benjamin,"A Jewish-American princess, Judy Benjamin (Goldie Hawn), is devastated when her husband (Albert Brooks) drops dead on their wedding night. While she grieves a duplicitous recruiter for the Women's Army Corps convinces her to enlist. Judy thinks her enlistment is like a vacation but Captain Lewis (Eileen Brennan) quickly dashes her hopes of an easy time. As Judy goes through basic training like any other grunt, she becomes a good soldier and develops a sense of self-esteem.",Comedy,1980-10-07
16402,m/toxic_avenger_iv_citizen_toxie,Citizen Toxie: The Toxic Avenger IV,The mutant superhero (David Mattey) rises from the sludge to save a group of students held hostage in Tromaville.,"Comedy, Horror",2000-01-01
8072,m/i_am_vengeance_2018,I Am Vengeance,"Ex-soldier turned mercenary, John Gold (Stu Bennett), uncovers a sinister conspiracy while investigating the murder of his best friend.","Action & Adventure, Mystery & Suspense",2018-08-24
11752,m/permanent_midnight,Permanent Midnight,"As television writer Jerry Stahl (Ben Stiller) becomes more successful, his heroin habit grows worse. Already using when he comes to Los Angeles, Stahl finds his problems intensify when he moves in with his friend Nicky (Owen Wilson), also an addict. Eventually, Stahl marries producer Sandra (Elizabeth Hurley) to help her get a green card, and she gets him jobs on top television shows. However, more and more, he is unable to separate his addiction from his working life.","Documentary, Drama",1998-09-16
7394,m/hachi_a_dogs_tale,Hachi: A Dog's Tale,A college professor (Richard Gere) forms a lasting bond with a dog that he finds on a train platform.,"Drama, Kids & Family",2009-12-18
2790,m/anna_and_the_king_of_siam,Anna and the King of Siam,"When young British teacher Anna Owens (Irene Dunne) arrives in Bangkok to tutor the family of King Mongkut (Rex Harrison), she finds that she is not well prepared for her exotic new surroundings. Anna begins to teach Mongkut's many wives and children and, by refusing to give up many of her own customs, wins the admiration of the ruler with her tenacity. Though Anna's presence is met with some resistance, she gradually becomes valued in the royal palace, particularly by the stubborn king.","Classics, Drama, Musical & Performing Arts, Romance",1946-06-20
