,movie_link,critic_name,review_type,review_date,content
0,m/1000013-12_angry_men,James Kendrick,Fresh,2011-12-02,an incisive and gripping film
1,m/1000013-12_angry_men,Dan Jardine,Fresh,2009-08-03,"taut, well-crafted sociological study"
2,m/1000013-12_angry_men,Matthew Pejkovic,Fresh,2010-07-06,A brilliant courtroom drama whose strength lies within the power of Rose's words and Sidney Lumet's great direction (his debut).
3,m/1000013-12_angry_men,Ian Nathan,Fresh,2001-04-17,"Thoroughly engaging, there is nothing dated or corny in Reginald Rose's intensely knowing screenplay and Lumet's energetic direction."
4,m/1000013-12_angry_men,Nick Davis,Fresh,2009-12-28,"12 Angry Men has some shrewd observations to sell about argumentation and group behavior, but they're not the ones of which the film seems most proud."
5,m/1000013-12_angry_men,John A. Nesbit,Fresh,2002-04-05,"12 Angry Men ranks as the tautest courtroom drama you'll ever see, surpassing Lumet's very good 1982 drama, The Verdict."
6,m/1000013-12_angry_men,Brian Webster,Fresh,2001-04-18,"While the composition of juries might change over time, the issues and attitudes that are explored here are timeless, as is this classic film."
7,m/1000013-12_angry_men,Christopher Machell,Fresh,2017-05-26,"In the 60 years since its release, Sidney Lumet's masterpiece has lost none of its impact. In this age of unreason, 12 Angry Men remains sorely and urgently contemporary."
8,m/1000013-12_angry_men,Eric Melin,Fresh,2011-12-09,"This was Sidney Lumet's first movie and it's as riveting as it was back in the late 50s, when everything was changing."
9,m/1000013-12_angry_men,Tim Dirks,Fresh,2002-04-05,"12 Angry Men (1957) is the gripping, penetrating, and engrossing examination of a diverse group of twelve jurors - all male, mostly middle-aged, white, and"
10,m/1000013-12_angry_men,Urban Cinefile Critics,Fresh,2000-01-01,"A film with texture, humour and relevance at all times. All in 91 minutes."
11,m/1000013-12_angry_men,Richard Propes,Fresh,2020-09-24,Reginald Rose's script is one of deep revelation.
12,m/1000013-12_angry_men,Dragan Antulov,Fresh,2000-01-01,Completely deserved its high status of undisputed classic.
13,m/1000013-12_angry_men,Variety Staff,Fresh,2008-06-30,The film leaves a tremendous impact.
14,m/1000013-12_angry_men,Mike Massie,Fresh,2020-08-15,"Thought-provoking, continually riveting, and absolutely unforgettable - and surprisingly designed around a very simple, tightly budgeted, special-effects-free premise."
15,m/1000013-12_angry_men,M. Faust,Fresh,2011-01-02,Outstanding Henry Fonda jury classic.
16,m/1000013-12_angry_men,Rob Humanick,Fresh,2007-07-03,"Makes no self-saluting motions to greater importance, which gives the material the much-desired breathing room it needs to reach full potency."
17,m/1000013-12_angry_men,Ian Mantgani,Fresh,2003-01-10,"An intense concentration of power, and my all-time favourite film."
18,m/1000013-12_angry_men,Mark Jackson,Fresh,2019-12-30,"""12 Angry Men"" puts the full range of human good and evil on display. It posits that, ultimately, the universe is benevolent, and our job, regarding each other, is to attempt with our best effort and greatest compassion to elucidate and clarify the truth."
19,m/1000013-12_angry_men,Jonathan Rosenbaum,Fresh,2007-06-26,"Mechanically written, but within its own middlebrow limitations, it delivers the goods."
20,m/10003437-deep_blue,Jeff Vice,Rotten,2005-09-02,"Unfortunately, the film tries to say too much, and as a result ends up saying nothing. Also, this G-rated film contains scenes of animal attacks that are much too intense for young audiences."
21,m/10003437-deep_blue,Jonathan Holland,Fresh,2005-06-30,This majestic film has all the hallmarks of Beeb quality workmanship.
22,m/10003437-deep_blue,Harvey S. Karten,Fresh,2005-05-11,"Fish gotta swim, birds gotta fly: you'll see both, nicely choreographed."
23,m/10003437-deep_blue,Bob Strauss,Fresh,2005-06-03,"It may not actually be comprehensive, but it feels like Deep Blue touches on all the points worth knowing, and more just for fun."
24,m/10003437-deep_blue,Bill White,Fresh,2005-06-30,"A trip reminding us that, while we continue to explore space, we have yet to fully penetrate the mysteries of our own planet."
25,m/10003437-deep_blue,Jami Bernard,Rotten,2005-06-03,It's about half an hour too long and Pierce Brosnan's sonorous narration threatens to lull us to sleep on those rocking waves.
26,m/10003437-deep_blue,Rich Cline,Fresh,2004-04-29,The filmmakers startlingly bring to life the beauty and balance of nature.
